Date,View,Trailing Spread Annualized,Q Scale,Omega Scale,Q_annual_t,Omega_multiplier_t
2007-06-29,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.0212521378379926,1.0,1.0,0.0015,8.0
2007-06-29,MSCI EM Value NR USD - MSCI EM Growth NR USD,-0.006700000000000199,0.25,4.0,0.000125,48.0
2008-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.0064323218132826005,0.5,2.0,0.00075,16.0
2008-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,0.046600000000000016,1.0,1.0,0.0005,12.0
2009-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,-0.06605115399708972,0.1,8.0,0.00015000000000000001,64.0
2009-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,0.09600000000000034,1.0,1.0,0.0005,12.0
2010-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.008350910166523895,0.5,2.0,0.00075,16.0
2010-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,0.005000000000000008,0.5,2.0,0.00025,24.0
2011-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,-0.0017579511649963072,0.25,4.0,0.000375,32.0
2011-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,-0.01559999999999978,0.25,4.0,0.000125,48.0
2012-06-29,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.05115072566232849,1.0,1.0,0.0015,8.0
2012-06-29,MSCI EM Value NR USD - MSCI EM Growth NR USD,-0.0004999999999999033,0.25,4.0,0.000125,48.0
2013-06-28,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.04968726939914421,1.0,1.0,0.0015,8.0
2013-06-28,MSCI EM Value NR USD - MSCI EM Growth NR USD,-0.06670000000000009,0.1,8.0,5e-05,96.0
2014-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,-0.017959054878095678,0.25,4.0,0.000375,32.0
2014-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,-0.007299999999999911,0.25,4.0,0.000125,48.0
2015-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.0975127418615012,1.0,1.0,0.0015,8.0
2015-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,-0.044399999999999926,0.1,8.0,5e-05,96.0
2016-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,-0.06789109001814629,0.1,8.0,0.00015000000000000001,64.0
2016-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,-0.049999999999999975,0.1,8.0,5e-05,96.0
2017-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.0353053824691998,1.0,1.0,0.0015,8.0
2017-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,-0.014800000000000195,0.25,4.0,0.000125,48.0
2018-06-29,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,-0.00901895277871486,0.25,4.0,0.000375,32.0
2018-06-29,MSCI EM Value NR USD - MSCI EM Growth NR USD,-0.0666999999999998,0.1,8.0,5e-05,96.0
2019-06-28,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.015287841383505201,0.5,2.0,0.00075,16.0
2019-06-28,MSCI EM Value NR USD - MSCI EM Growth NR USD,0.06260000000000002,1.0,1.0,0.0005,12.0
2020-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.0303523878223051,1.0,1.0,0.0015,8.0
2020-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,-0.23400000000000004,0.1,8.0,5e-05,96.0
2021-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.031004510902985102,1.0,1.0,0.0015,8.0
2021-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,-0.013900000000000183,0.25,4.0,0.000125,48.0
2022-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.0588422950996637,1.0,1.0,0.0015,8.0
2022-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,0.1418000000000001,1.0,1.0,0.0005,12.0
2023-06-30,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,-0.039610127108324386,0.1,8.0,0.00015000000000000001,64.0
2023-06-30,MSCI EM Value NR USD - MSCI EM Growth NR USD,0.035300000000000206,1.0,1.0,0.0005,12.0
2024-06-28,Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,0.021803814940836698,1.0,1.0,0.0015,8.0
2024-06-28,MSCI EM Value NR USD - MSCI EM Growth NR USD,0.04032129999999988,1.0,1.0,0.0005,12.0
