Formation Date,Period End,Months Held,Start Weight Sum,End Weight Sum
2007-06-29,2008-06-30,12,0.9999999999999999,1.0000000000000002
2008-06-30,2009-06-30,12,1.0,0.9999999999999998
2009-06-30,2010-06-30,12,1.0000000000000002,0.9999999999999999
2010-06-30,2011-06-30,12,1.0000000000000002,1.0
2011-06-30,2012-06-29,12,1.0,1.0
2012-06-29,2013-06-28,12,0.9999999999999998,0.9999999999999999
2013-06-28,2014-06-30,12,1.0000000000000002,1.0000000000000002
2014-06-30,2015-06-30,12,0.9999999999999999,1.0
2015-06-30,2016-06-30,12,0.9999999999999999,0.9999999999999998
2016-06-30,2017-06-30,12,1.0,1.0
2017-06-30,2018-06-29,12,1.0,0.9999999999999999
2018-06-29,2019-06-28,12,0.9999999999999999,0.9999999999999998
2019-06-28,2020-06-30,12,0.9999999999999999,0.9999999999999998
2020-06-30,2021-06-30,12,0.9999999999999998,1.0
2021-06-30,2022-06-30,12,0.9999999999999999,1.0
2022-06-30,2023-06-30,12,1.0,0.9999999999999998
2023-06-30,2024-06-28,12,0.9999999999999999,1.0
2024-06-28,2025-06-30,12,0.9999999999999999,1.0
