Date,Objective Value,Weight Sum,Min Weight,Max Weight,Max Abs Active,Hit Active Bound Count
2007-06-29,-0.006879116003487479,0.9999999999999999,0.0009575112457229968,0.20474678918375452,0.02,2
2008-06-30,-0.004083099082574467,1.0,0.003016973241919678,0.24994575112492226,0.02,2
2009-06-30,-0.011327197839115071,1.0000000000000002,0.002923560100756898,0.3291922570011547,0.0005827019732062254,0
2010-06-30,-0.01238439404667281,1.0000000000000002,0.0032104144849571265,0.3115121249401504,0.0004706104769566996,0
2011-06-30,-0.015396750969350921,1.0,0.00340918567207449,0.309097330291405,0.0005904632074209999,0
2012-06-29,-0.016184310062922484,0.9999999999999998,0.002796517052612601,0.30912201701613934,0.00705335018435143,0
2013-06-28,-0.017309573724263894,1.0000000000000002,0.0029983010194945367,0.2903940853822487,0.004232430505626106,0
2014-06-30,-0.009032203896429152,0.9999999999999999,0.003205397763333377,0.2770285600332704,0.009604917035202155,0
2015-06-30,-0.00756298314292711,0.9999999999999999,0.00420219340032728,0.23842625859241764,0.02,2
2016-06-30,-0.00627336820289608,1.0,0.0031694521209367998,0.2846606021055792,0.0019247014993420408,0
2017-06-30,-0.004321947370164456,1.0,0.002550851857733513,0.24335512794263234,0.02,2
2018-06-29,-0.0045747261005637365,0.9999999999999999,0.003164710525196322,0.2532780494841641,0.005545029842355605,0
2019-06-28,-0.004850878452497941,0.9999999999999999,0.002996013705430986,0.252570390634179,0.014039987208698791,0
2020-06-30,-0.007180019068208586,0.9999999999999998,0.0026076877946200607,0.2668369079048891,0.020000000000000018,2
2021-06-30,-0.008709057770709561,0.9999999999999999,0.003846091629829113,0.24344831079132953,0.01859928576414807,0
2022-06-30,-0.010172938325408935,1.0,0.0036103226757575727,0.24281822320139604,0.014850668213453516,0
2023-06-30,-0.0160115854001552,0.9999999999999999,0.003842019080454476,0.24876263744747076,0.006940073395968686,0
2024-06-28,-0.018106263385052376,0.9999999999999999,0.0043472981578411025,0.23826425830926143,0.005754356845380809,0
