Date,Asset,Annualized Volatility
2024-06-28,Russell 1000 Value,0.1863104767088772
2024-06-28,Russell 1000 Growth,0.2057195197691649
2024-06-28,Russell 2000 Value,0.24816371158493875
2024-06-28,Russell 2000 Growth,0.24170570844627529
2024-06-28,MSCI World Ex USA Value NR USD,0.19411431257033623
2024-06-28,MSCI World Ex USA Growth NR USD,0.18165521485656164
2024-06-28,MSCI World Ex USA Small Value NR USD,0.20464242536737562
2024-06-28,MSCI World Ex USA Small Growth NR USD,0.20682773522172157
2024-06-28,MSCI EM Value NR USD,0.1849138752277407
2024-06-28,MSCI EM Growth NR USD,0.19915174419507597
2024-06-28,MSCI EM Small Value NR USD,0.20210824184495124
2024-06-28,MSCI EM Small Growth NR USD,0.2087993465295706
2024-06-28,Bloomberg Barclays US Aggregate,0.06237936492433237
2024-06-28,Bloomberg Barclays Global Aggregate x USD,0.09000310609273922
2024-06-28,Bloomberg Barclays Global Inflation-Linked USD,0.10248499585278101
2024-06-28,Bloomberg Barclays US Municipal Bond,0.06460615815624862
2024-06-28,Bloomberg Barclays Global High Yield USD,0.10839301828518466
